"state","population","unused_column"
California,"39,029,342",0
Texas,"30,029,572",0
Florida,"22,244,823",0
New York,"19,677,151",0
Pennsylvania ,"12,972,008",0
Illinois,"12,582,032",0
Ohio,"11,756,058",0
Georgia,"10,912,876",0
North Carolina,"10,698,973",0
Michigan ,"10,034,113",0
New Jersey,"9,261,699",0
Virginia,"8,683,619",0
Washington,"7,785,786",0
Arizona,"7,359,197",0
Tennessee,"7,051,339",0
Massachusetts,"6,981,974",0
Indiana,"6,833,037",0
Missouri,"6,177,957",0
Maryland,"6,164,660",0
Wisconsin,"5,892,539",0
Colorado,"5,839,926",0
Minnesota,"5,717,184",0
"South Carolina	","5,282,634",0
Alabama,"5,074,296",0
Louisiana,"4,590,241",0
Kentucky,"4,512,310",0
Oregon,"4,240,137",0
Oklahoma,"4,019,800",0
Connecticut,"3,626,205",0
Utah,"3,380,800",0
Iowa,"3,200,517",0
Nevada,"3,177,772",0
Arkansas,"3,045,637",0
Mississippi,"2,940,057",0
Kansas,"2,937,150",0
"New Mexico	","2,113,344",0
Nebraska,"1,967,923",0
Idaho,"1,939,033",0
"West Virginia	","1,775,156",0
Hawaii,"1,440,196",0
"New Hampshire	","1,395,231",0
Maine,"1,385,340",0
Montana,"1,122,867",0
"Rhode Island	","1,093,734",0
Delaware,"1,018,396",0
"South Dakota	","909,824",0
"North Dakota	","779,261",0
Alaska,"733,583",0
Vermont,"647,064",0
Wyoming,"581,381",0
